phone_md5,ft_tag_gender,ft_tag_marrige,parent,ft_lbs_same_night_stay_wifimac_cnt,ft_tag_occupation_office,ft_tag_province,ft_tag_city,ft_tag_city_tier,ft_asset_score_a_rule,ft_asset_score_b_rule,ft_asset_score_c_rule,ft_asset_score_d_rule,ft_asset_score_e_rule,ft_asset_score_f_rule,ft_tag_p2p,ft_tag_stock,ft_tag_asset_management,ft_tag_bookkeeping,ft_tag_banking,ft_tag_credit_card,ft_tag_lottery,ft_stable_score_a_rule,ft_stable_score_b_rule,ft_stable_score_c_rule,ft_stable_score_d_rule,ft_stable_score_e_rule,ft_stable_score_f_rule
4851446ff90fbfe1d75c677db1801c25,1,2,0,2.5,0,32000000,32010000,2,539,2,544,2,549,2,0,1,0,0,1,0,0,569,11,555,8,548,9
fafe6d30a2958747121aaa2257f51b0d,1,2,1,2.5,1,44000000,44030000,1,538,1,541,3,547,2,0,1,1,0,1,1,0,549,4,559,8,552,6
e62e1fe1f68d289fe556815d95b7cafb,1,1,0,2.5,1,36000000,36010000,2,539,4,548,4,547,1,0,1,1,0,1,1,0,555,6,549,8,544,4
3e8eb991eff8d1d69fd592b48243cdc5,0,1,0,3,0,11000000,11000000,1,550,4,544,5,558,3,0,0,0,0,0,0,0,545,5,556,5,549,10
b41c3e9052f9fdd2fe2b6635760c6907,1,1,0,2.5,1,33000000,33010000,2,548,5,547,6,549,3,2,0,1,0,0,0,0,551,6,548,6,538,5
afe3f43eb5199c4ffe3d44f3cf2d074f,1,2,0,3,0,33000000,33010000,2,526,1,546,3,541,3,0,1,1,0,1,0,0,539,5,557,8,573,8
6855920047c8cbb25fb21aa897962625,1,2,0,2.5,0,32000000,32030000,3,557,5,556,4,560,5,0,1,1,0,1,0,0,557,10,555,9,545,7
3e70cf09062bcb57ca941bf6cb1d11d8,1,2,0,2.5,0,44000000,44030000,1,558,6,552,5,549,2,0,0,0,0,0,0,0,545,5,545,4,530,3
552adf00f004ce2df4d5d843979ac3b2,1,1,0,2.5,1,33000000,33050000,4,551,4,547,4,545,0,0,0,1,0,1,1,0,556,4,556,8,549,8
1439e7907211bba0787c3117c6a7f06d,1,0,0,2.5,0,50000000,50000000,2,548,4,543,5,549,2,3,1,1,0,1,0,0,564,9,554,8,545,8
3fa32a52f3ae94efddb519bce7d530c2,1,2,0,2.5,1,12000000,12000000,2,534,1,536,1,547,1,3,1,1,1,1,1,0,537,2,543,5,542,8
7ef01e8eb134cb9225d008e9c157cfb2,1,1,0,2.5,0,13000000,13010000,2,558,5,548,4,549,1,0,0,0,0,1,0,0,551,5,549,8,541,4
d923fda7e811ab88fadfc0ad0aa3fbeb,1,2,1,2.5,1,37000000,37020000,2,536,3,542,4,541,1,0,1,0,0,1,0,0,558,5,546,7,548,5
86c8974b3015fec4cd5c2790e4bd7215,1,1,0,3,1,42000000,42010000,2,543,3,543,5,549,2,0,1,1,0,1,1,0,546,3,546,8,558,8
f846829d27e585ce94bd472db55424fe,1,1,0,3,0,33000000,33100000,3,544,5,554,5,549,2,0,1,1,0,1,0,0,558,6,554,5,559,9
5351eec39d56578d972c289f72b4135b,1,1,0,2.5,0,32000000,32030000,3,557,5,555,6,549,3,0,1,0,1,1,0,0,552,7,554,11,555,8
839e7faaccab7757ed207440295aa460,1,1,0,2.5,0,42000000,42010000,2,546,2,546,4,547,1,3,1,1,1,1,1,0,557,6,558,7,533,5
f9f3d30a220bd697f5dcea6a896d7cee,1,1,0,2.5,1,37000000,37020000,2,550,4,552,5,547,2,0,1,1,0,1,0,0,553,3,557,8,552,6
0f959c973ac970697da90b9dd50dc6e2,1,0,0,2.5,1,37000000,37070000,3,548,5,555,4,549,4,0,1,1,0,1,0,0,549,6,564,11,559,9
466460e5055d0bbc97a3d81fda8df0e6,1,1,0,3,0,35000000,35030000,4,544,4,543,4,549,1,0,1,1,0,1,0,0,556,7,552,11,568,11
fbf6e48ff82dbfda0f73ba2730cbe27c,1,2,0,2.5,1,37000000,37010000,2,534,4,543,4,563,2,0,1,1,0,1,1,0,559,6,559,10,569,5
45d79c9da994b9eddd42fcfd3ebc1d34,0,2,1,2.5,1,31000000,31000000,1,534,3,539,3,563,1,0,1,1,0,1,0,0,565,6,546,7,554,8
e743675a374089b6f75d242a5438deea,0,1,0,3,0,44000000,44130000,3,549,6,550,5,549,2,0,1,0,0,0,0,0,562,8,550,9,564,11
16fc3387f9ca4f64a3960008edf8a748,1,2,0,2.5,1,43000000,43010000,2,537,2,544,4,545,3,0,1,1,0,0,0,0,554,6,546,6,524,4
c64c1de2323f0eef3d5c3911d7942321,1,2,1,2.5,1,37000000,37010000,2,546,3,557,5,547,2,0,1,0,0,1,1,0,556,7,544,4,535,5
2996810fc104bbd01c2dd0f043506f83,1,2,1,2.5,1,13000000,13010000,2,542,3,551,5,547,2,0,1,1,0,1,1,0,572,7,550,8,545,7
46ef50bc4ccbfd29dccc8c786f34234d,1,2,1,2.5,0,33000000,33030000,2,551,4,555,6,549,3,0,1,1,0,0,0,0,588,8,563,8,549,6
f3cf03bc1feaffcc216e7df5c1e38d62,1,2,0,2,1,31000000,31000000,1,540,4,550,4,563,3,0,1,1,0,1,1,0,560,6,549,9,544,4
45828a26310f79ef6a7cc02a42df7039,1,1,0,2.5,0,33000000,33030000,2,548,3,547,5,546,2,0,1,0,0,1,0,0,563,5,557,8,546,5
3192703ff212c01613f615bd54a65ae0,1,2,1,2.5,0,44000000,44030000,1,553,4,548,4,549,1,0,1,0,0,1,0,0,554,7,548,6,541,7
0d72686c48401742835baa5d182d2d39,1,2,1,2.5,1,32000000,32020000,2,549,6,550,5,549,2,0,1,0,1,1,0,0,558,4,557,8,543,5
6f14317cdb1ea987bccde284b12b5298,1,2,1,2.5,1,33000000,33030000,2,548,2,546,2,547,1,0,1,0,0,1,0,0,543,3,546,8,541,5
726e387e878220dadbfdd28fee4ff681,1,2,0,2.5,1,33000000,33020000,2,537,2,548,4,541,1,3,1,1,0,1,1,0,539,2,557,8,557,8
4faef069957bac7e09c96cb142e277a1,1,2,1,3,0,35000000,35050000,3,549,6,551,5,549,2,0,1,0,0,1,1,0,562,8,563,12,549,9
45a964948fc6e93587850a9b081f0c34,1,2,0,2.5,0,32000000,32060000,3,546,1,549,3,549,3,0,1,1,0,1,1,0,565,10,564,9,559,10
a130f24ee14eb5b0133b0991ddaed94b,1,2,0,2.5,0,62000000,62010000,3,543,3,543,5,549,2,0,0,0,0,1,0,0,557,8,552,6,534,3
bc7d23c87192d5f25baa21240a4fe130,1,1,0,2.5,0,44000000,44010000,1,549,6,547,5,549,2,0,1,0,0,0,0,0,558,7,554,4,540,4
8b3171f20e5acb83c301b82c6d561dde,1,2,1,2,1,41000000,41010000,2,548,3,546,3,547,0,0,0,0,0,1,0,0,549,7,549,7,554,8
8ef0731e61d0f82beefc71f393d8d49f,1,2,0,2.5,1,32000000,32060000,3,553,4,559,5,549,3,0,1,0,1,1,0,0,591,10,569,10,571,9
e28d8361681f5680f7c6a2cee08f8569,1,1,0,3,1,31000000,31000000,1,542,1,547,3,547,3,0,0,0,0,1,1,0,554,5,557,9,550,7
92a84f385dbff50e35420e63cbeb8bcf,1,2,0,2.5,1,31000000,31000000,1,539,2,538,4,546,1,0,1,1,0,1,0,0,554,5,548,8,544,5
4a47390e1428c17b15212f05bde5c783,1,2,0,2.5,1,36000000,36010000,2,532,3,536,2,541,2,0,1,1,0,1,0,0,535,3,549,8,547,7
94963564f2fc9a765ca2da4097d0d9a0,1,2,0,2.5,1,33000000,33010000,2,565,6,552,5,560,3,0,0,0,0,0,0,0,557,8,552,6,534,3
fae5855aa7bae6c6251be8ba9f3afd44,1,2,1,2.5,1,33000000,33020000,2,547,4,546,6,549,3,0,0,1,0,1,0,0,557,6,546,5,541,5
d61e0688dee01e6ca1e6ec79c6aa6565,1,2,0,2.5,1,35000000,35010000,2,546,5,542,4,546,1,0,1,0,0,1,0,0,557,6,546,5,541,5
eca62879d56122d0b684809e46b6285e,1,2,1,2.5,0,33000000,33030000,2,557,4,557,6,556,3,3,1,1,0,1,1,0,538,4,548,9,568,7
2871788118e97beac86921a343fbc6bf,1,2,1,2.5,0,44000000,44030000,1,559,4,555,5,558,3,0,1,0,0,1,0,0,541,3,550,8,543,6
7ac3bdd0bbf8c225acd94c6f0174861a,1,2,0,2.5,1,13000000,13060000,3,558,6,552,5,549,2,1,1,1,0,1,0,0,559,10,554,9,548,10
54d242a8d8436fa479fe21f6356ae625,1,2,1,2.5,0,32000000,32030000,3,539,3,544,3,547,0,0,0,0,0,1,0,0,565,6,557,8,546,4
81b1b7843c7e1e588806c154844d70d8,1,1,0,3,0,33000000,33030000,2,557,4,547,5,549,2,0,0,0,0,0,0,0,560,5,549,9,558,7
35b04e29ccec91eef53f792f08517a5e,1,2,1,2.5,1,43000000,43010000,2,544,5,545,4,547,1,0,1,1,0,1,1,0,563,6,546,8,573,8
bf6a14ed3858523148d3c37d734a3614,1,1,0,2.5,1,65000000,65010000,3,539,3,544,3,547,0,0,0,0,0,0,0,0,569,8,549,6,560,7
a6e1377c9225ad26ae78baa23ad364ee,1,2,0,3,1,35000000,35010000,2,543,3,544,2,541,2,0,1,1,0,1,0,0,546,6,558,7,550,10
9ee4848bcf95fce2677ef0d47eceaa49,1,1,0,2.5,0,32000000,32010000,2,540,3,538,3,546,0,0,1,1,0,1,0,0,551,6,548,6,538,5
6b346eabfa37cc457a443fde6a4e1bf3,1,1,0,2.5,1,31000000,31000000,1,539,3,548,3,547,0,3,1,1,0,0,0,0,558,6,558,6,552,8
ea6cb2622a073c18638cbda572759dd5,1,2,0,2.5,1,31000000,31000000,1,543,2,542,1,563,2,0,1,0,0,0,0,0,544,3,556,9,538,5
8003c12c0ab5306d9b18b39564c04878,1,2,1,2.5,0,44000000,44030000,1,538,3,545,5,547,2,3,1,1,0,1,1,0,554,5,548,8,544,5
293ba6e0ccf29b3606f52dc8963d5c75,1,1,0,2.5,0,31000000,31000000,1,549,6,547,5,549,2,0,0,0,0,1,0,0,571,9,560,9,557,9
c4cd7b2cab3482603c3d63d182abb443,0,1,0,2.5,1,31000000,31000000,1,543,3,543,5,549,2,0,0,1,0,1,0,0,557,8,552,6,534,3
2139fa59a5e2bd8d1d5efa401e0faa36,1,2,0,2.5,0,31000000,31000000,1,544,4,544,3,547,0,0,1,1,0,0,0,0,543,5,546,4,527,0
64871c970c030758ee96817384d63509,1,1,0,2.5,0,33000000,33020000,3,549,5,542,4,549,1,0,0,0,0,0,0,0,567,10,563,9,541,5
5e9e9e825f7e0d8e4ce2d8022782104d,1,2,1,2.5,0,44000000,44120000,4,557,5,552,6,549,3,1,1,1,0,1,0,0,556,9,554,9,545,8
97ef89b6d89ce31004abc1708e6651ca,1,0,0,2.5,0,31000000,31000000,1,543,4,551,6,549,3,3,1,1,0,1,0,0,546,4,548,8,536,5
b893798918dd6ab4dccbadf9e2201359,0,1,0,2.5,1,13000000,13010000,2,538,2,542,3,547,3,0,0,0,0,1,1,0,558,4,570,9,555,7
ee3e4c2477ddc57ba5cfe4b0d22371b9,1,1,0,2.5,0,37000000,37020000,2,543,2,544,3,547,2,0,0,0,0,0,0,0,546,5,550,6,545,6
dd77658a0af81c48e9e606cab50bd3b2,1,2,1,2.5,1,31000000,31000000,1,533,2,539,4,563,2,0,1,1,0,1,1,0,547,7,559,8,562,5
48761b916724d040bd8ad5a5c0a25f3a,1,2,0,2.5,0,32000000,32060000,3,547,3,543,5,549,2,3,1,0,0,1,1,0,548,7,554,11,551,9
8de64193d89214973e4a5633db759e68,0,1,0,2.5,1,32000000,32030000,3,565,4,553,3,560,3,0,0,0,0,1,0,0,555,4,546,7,556,6
5cbaab79143807994be90dd3c1470acc,1,2,0,2.5,1,11000000,11000000,1,539,2,538,4,546,1,0,1,1,0,1,0,0,552,7,549,6,538,4
27a656ef7795b221f5d568ac452544da,0,1,0,2.5,0,32000000,32010000,2,549,5,547,4,549,1,0,1,0,0,1,0,0,567,10,563,9,547,7
1dd41d8d222e2bbe1bfe36f6804274b7,1,2,0,3,1,23000000,23010000,2,549,3,557,3,546,3,0,1,1,0,1,1,0,555,4,557,9,557,7
3da1f64be6d782268de0dc88a6667bfd,1,1,0,1,1,37000000,37110000,4,549,5,546,4,549,1,0,0,0,0,1,0,0,582,9,563,12,564,9
815499d48c6d91153aab3bd2b52ae65f,1,1,0,2.5,0,11000000,11000000,1,544,5,551,5,549,2,0,1,1,0,1,0,0,547,7,551,7,540,6
d2f418adad4b6397433d6ae31f043cbb,1,2,1,2.5,1,32000000,32010000,2,547,1,542,2,547,2,0,1,1,0,1,0,0,544,3,557,8,548,7
ec8131d2556123dc80fe47c29862e3b3,1,2,0,2.5,0,44000000,44530000,4,548,4,546,5,549,2,0,0,1,0,0,1,0,561,9,555,11,551,7
6f50909348d0e7c656c97823b16fce8a,1,2,0,2.5,0,35000000,35020000,2,544,4,547,4,549,1,3,0,1,0,0,0,0,567,10,555,7,549,9
a3eaa0b521d12f0133f2d6a4d2d60b7e,1,1,0,2.5,0,13000000,13060000,3,538,2,541,4,547,1,3,1,0,0,1,0,0,552,7,549,6,538,4
15fe293c4aa6bd6309a58534c8fd2155,1,2,1,2.5,1,37000000,37020000,2,533,2,539,4,563,2,3,0,1,0,1,1,0,557,6,547,7,552,7
9c7e64422b0a5727780933f4e7fea179,1,2,1,3,0,31000000,31000000,1,536,0,540,2,541,2,0,1,1,0,1,0,0,532,5,564,9,553,8
09713bee22fe3c18a0f302db4f962873,1,1,0,3,1,43000000,43010000,2,529,0,537,2,563,2,0,1,1,0,1,1,0,546,4,559,9,561,9
82f2a265bbde6808a648860304238f33,1,1,0,2.5,1,34000000,34010000,2,556,5,552,4,574,3,0,0,0,0,1,0,0,559,7,569,7,536,8
a91236ae575d42cfae5383b7767fb37f,1,2,0,3,1,33000000,33030000,2,542,2,539,3,563,2,0,1,0,0,1,0,0,534,3,547,10,567,8
59dd3957c25c634a1ced63a5dec70cfe,1,1,0,2.5,0,35000000,35050000,3,549,5,542,4,549,1,0,1,0,0,1,0,0,551,6,559,9,549,11
bf89d633fcc13e051630b4d6c64d1675,1,0,0,2.5,1,31000000,31000000,1,549,6,547,5,549,2,0,1,0,0,1,0,0,578,11,564,8,549,9
b924bce2f6e19023dc5b8079d11cc367,0,2,0,3,1,41000000,41010000,2,552,4,544,3,558,3,0,1,1,0,1,0,0,574,6,547,8,564,9
17242ba45546a9eb58bbce3ba8071dce,1,2,0,3,1,32000000,32050000,2,551,5,551,5,545,1,0,1,0,0,1,0,1,555,5,557,9,548,6
0100f64416377dd32931cadfdd0b0e45,1,2,0,2.5,1,23000000,23010000,2,538,3,552,5,547,2,0,1,1,0,1,0,0,565,6,570,7,549,6
87dd45e6a2237b68ac07edcb2d2e8b07,1,2,0,2.5,0,44000000,44010000,1,537,1,543,4,545,2,0,1,0,0,1,0,0,544,3,557,8,548,7
1f91f1c5e68368548a95d0fe4f6a3746,1,2,0,2.5,1,44000000,44030000,1,541,0,547,3,547,2,0,1,0,0,1,0,0,549,4,548,8,541,5
fb1c37cd6ba8a218addb0758add35ee5,1,2,0,2.5,1,31000000,31000000,1,558,5,547,4,549,1,0,1,0,0,1,1,0,563,5,557,8,546,5
3d0fa98814d472e01658ef3aacc4bb6b,1,1,0,2.5,1,33000000,33060000,3,544,5,547,5,549,2,0,1,1,0,1,0,0,562,8,563,11,545,7
8969b23ed7711b8994f9af93bf7ccbdf,1,1,0,2.5,1,31000000,31000000,1,549,5,547,4,549,1,3,1,1,0,1,0,0,551,6,548,6,538,5
782162258c8c0a04f1b3d05e609b0c2e,1,2,0,2.5,1,44000000,44030000,1,537,1,544,4,549,3,0,1,0,0,1,1,0,546,5,549,6,548,6
91bcaa537c2cd8857fa8ea43496383d1,1,1,0,2.5,1,44000000,44060000,2,543,3,547,5,549,2,0,1,1,0,1,0,0,558,4,557,8,543,5
530ea1b75d8c5791c75ccd4658481868,1,2,1,3,0,44000000,44130000,3,543,4,554,6,549,3,0,1,0,0,1,0,1,558,10,554,10,550,9
bf9bff76b7497443326aa52bcb66d491,1,0,0,3,0,51000000,51160000,4,554,5,554,4,546,1,1,0,1,0,1,1,0,548,4,559,10,560,10
9398de610de14dec9cea2bd3e5ecf04a,1,2,0,2.5,1,33000000,33010000,2,537,1,538,3,549,3,0,1,1,0,1,0,0,537,5,549,6,548,6
4892c0cea7970024ffb698b05a512c91,1,0,1,2.5,0,32000000,32040000,3,551,4,550,4,549,1,3,1,1,0,1,1,0,568,8,563,11,552,8
2ea23e5a0986abf2ad5c71369a124b5a,1,1,0,2.5,1,33000000,33010000,2,548,4,546,5,549,2,0,1,0,0,1,0,0,564,6,547,7,559,7